"","country","countryiso3code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"26","Botswana","BWA","17993233863.7628","18038320205.6037","19133161618.4884","20018241545.3268","20559899476.3525","21496741242.9928","23294700964.5841","25222748339.8179","26798019288.5853","24747351724.4877","26866623793.4889","28491602197.6691","29761235633.2879","33137178854.0399","34512124170.8257","33926132256.583","35390216621.135"
"27","Brazil","BRA","1993190057788.43","2020752528283.76","2082466643790.09","2106204407606.59","2227614698949.55","2298819603353.55","2389790718626.23","2534620486107.17","2663654413641.67","2660304198210.8","2860938983936.98","2974955344832.28","3032464441306.37","3123750887614.6","3139626109942.67","3028176690626.19","2923154591439.16"
"28","British Virgin Islands","VGB","","","","","","","","","","","","","","","","",""
"29","Brunei Darussalam","BRN","27342284375.3295","28092567737.0402","29180339200.3506","30027723258.6296","30179158547.8893","30296104962.6462","31628442732.1111","31677334551.9124","31062884656.7293","30514769016.8002","31307837411.1498","32480415591.3426","32776910359.7628","32080063898.3911","31326263639.6957","31148701800.9807","30380725976.136"
"30","Bulgaria","BGR","72170777800.1697","74891773306.0765","79338484628.3961","83429350205.11","88798327837.5151","95123886556.6634","101663043423.025","109129606257.651","115701263903.667","111552048089.993","113029095150.449","115193495908.981","115229171183.392","116222636875.882","117766952991.901","122027124955.649","126836333345.922"
"31","Burkina Faso","BFA","12483126699.3535","13308685744.9546","13888013410.7502","14971617310.18","15642117350.9971","16997015908.0583","18059866270.6652","19081152632.6264","20473026958.4259","21079440959.1922","22212117974.8109","23684085089.3575","25212347753.0455","26672795515.5208","27826883996.0202","28910615365.9947","30623447196.823"
"32","Burundi","BDI","4826748585.33385","4925977225.89982","5145011759.82077","5082050812.40967","5327699755.95462","5375649053.9108","5665109338.39415","5936231951.16376","6235899991.30929","6452187532.08544","6696461063.94965","6977151645.62124","7257588873.80706","7591006441.60571","7944817041.22708","7633289423.77197","7589746511.18029"
"33","Cabo Verde","CPV","1668631777.33519","1705869873.3632","1795443245.2141","1870425610.75003","2061154268.37822","2203630691.25017","2379563066.41409","2740559154.23439","2922820603.22066","2885688331.29191","2928015321.96758","3044224922.25246","3077160948.13322","3101864322.39064","3120823310.01768","3152245747.92865","3272581797.16813"
"34","Cambodia","KHM","16830475872.697","18083775263.0679","19273495897.4468","20912879328.6811","23075381633.7306","26132889755.8549","28947685176.8931","31903988921.579","34038869057.7897","34068379722.2329","36099903974.4308","38652011936.303","41478767113.9546","44530221118.4119","47710823823.1125","51067798981.2672","54618591250.461"
"35","Cameroon","CMR","39770616586.1867","41507830622.3018","43266601947.7497","45242672139.5015","48310557796.0183","49286751027.7748","50990923636.9236","53490601578.8402","55356782178.3212","56573891876.0619","58510137648.4186","60926183398.9526","63694221374.6985","67136426339.5228","71086773495.1535","75104216725.7472","78446694792.1465"
"36","Canada","CAN","1151768855838.72","1172164598599.54","1207446944169.26","1229208438201.3","1267141333783.16","1307707370087.6","1342013930307.11","1369696291657.46","1383398198807.27","1342593656484.99","1383992722798.01","1427466965184.4","1452383005413.25","1488329511798.84","1530832321157.4","1546154153873.58","1568018362214.36"
"37","Cayman Islands","CYM","","","","","","","","","","","","2823463451.74062","","","","",""
"38","Central African Republic","CAF","3052959667.26258","3189266348.98737","3304607512.098","3126241810.10112","3313656387.30361","3343751363.03983","3503284597.152","3664699656.01881","3739977386.31758","3803902546.62293","3919793562.81048","4049174939.83364","4215709320.45115","2668546004.91326","2696299364.95982","2825718662.88484","2953760056.01772"
"39","Chad","TCD","8285687626.43615","9251644246.96025","10037220771.6753","11514866990.951","15387244429.6548","18054243761.3245","18171282565.5612","18765755998.1717","19338616642.4378","20154260616.3641","22885183257.3778","22904148162.6154","24938626546.7354","26360128599.7775","28178973531.0897","28958876129.7485","27147345789.8094"
"40","Channel Islands","CHI","","","","","","","","","","","","","","","","",""
"41","Chile","CHL","218492826314.252","225709747741.849","232722483092.65","242243270848.998","259707895654.328","274622479869.477","291970866200.755","306292984643.762","317103689119.271","312143428138.889","330385643496.483","350575241993.673","369221034976.868","384156041711.157","390943079331.741","399955322575.088","405018227430.045"
"42","China","CHN","4672725463262.83","5062426587139.27","5524658835017.95","6079091664255.37","6693762206647.24","7456568349755.51","8405004996666.14","9601153872160.66","10528077050087.6","11517696623338.5","12742735014325.4","13957938676634.1","15054510924261.2","16222384954805.7","17406240419452.4","18607306659286","19853996205458.2"
"43","Colombia","COL","335685091122.417","341317545585.573","349864070252.355","363572695817.874","382962107917.078","400986433731.574","427842561312.075","457366383419.6","473588276652.646","481409820261.487","500530458895.309","533512971123.156","555087935875.08","582143285892.64","607720381850.595","626268108623.995","639063140173.409"
"44","Comoros","COM","803186066.721811","821923887.585284","841031803.649804","858727970.255286","875212132.805405","900045469.815047","923868772.16678","931261134.00651","934988663.661623","953220942.395523","974191802.954097","999520790.689932","1029506414.13009","1065539138.56177","1087506713.99995","1098546195.39878","1122714211.94907"
"45","Congo, Dem. Rep.","COD","26982812766.5085","26416127011.4301","27194812406.328","28711690720.2835","30646391803.5724","32526594264.4252","34257327698.5851","36401657508.6026","38667986217.2938","39771981975.0583","42598965137.7438","45527503793.3844","48753991980.1867","52889284438.0325","57898052047.0712","61902390065.2003","63387663073.5933"
"46","Congo, Rep.","COG","14451733327.1667","15001275213.2719","15688614151.1056","15816204013.8173","16366075164.0843","17635388507.964","18735130808.498","18438699306.5214","19466146637.3994","20920061933.6128","22750902379.0886","23529134688.7973","24423235057.0563","25263566587.6874","26976415220.769","27690342239.6711","26915007454.5865"
"47","Costa Rica","CRI","38776659193.121","40130146628.8813","41451132013.4104","43215075093.3436","45089129283.8321","46834472245.1148","50224226207.25","54326488947.5586","56852452417.6421","56300671899.9031","59088604515.6545","61633610781.5746","64590125733.697","66055693384.5871","68377774647.7946","70861044128.2745","73806285289.8892"
"48","Cote d'Ivoire","CIV","49185416881.5209","49245114163.9515","48423881889.2812","47765541810.0138","48353904780.8949","49186195093.9312","49931780276.2247","50813094564.8564","52105191008.8138","53799367179.4931","54884843973.9869","52476906028.6953","58095348125.8286","63259688377.4398","68822794330.2418","74908701426.0709","81157670018.1178"
"49","Croatia","HRV","69675922986.084","72068875921.941","75849951138.2057","80065620922.9385","83334548638.2429","86804350736.8292","90958165333.944","95642515355.0427","97606405790.69","90399360580.6059","89115290706.5733","88824804186.3728","86830958549.3065","86268263847.1293","86185294255.834","88208364438.6832","91000527729.0979"
"50","Cuba","CUB","","","","","","","","","","","","","","","","",""
"51","Curacao","CUW","","","","","","","","","","","","","","","","",""
"52","Cyprus","CYP","20880353286.6834","21632184865.7178","22367485407.3944","22921275158.8819","23968846996.248","24861523013.5712","25982823277.5533","27235379978.1565","28287745816.3564","27786359453.2932","28152521930.7693","28242946705.1167","27379200003.1697","25754529651.6415","25392995864.6257","25895539400.3039","26775155898.1144"
"53","Czech Republic","CZE","217344797293.476","223666846429.677","227362927769.204","235554790091.222","247112436065.181","263257449991.049","281299858121.347","297060086858.184","305028078249.223","290378884892.64","296980416687.568","302260233093.211","299842621904.544","298392369974.709","306494069347.29","322766570535.828","331136959994.634"
"54","Denmark","DNK","226067137050.018","227928007106.851","228990937808.589","229884171610.316","236017926041.457","241532873111.239","250984006496.37","253266086094.534","251969299855.45","239606361759.484","244089379149.77","247352304134.257","247912479127.463","250226368470.189","254278471651.312","258363732447.53","263438195427.37"
"55","Djibouti","DJI","","","","","","","","","","","","2342710799.37195","","","","",""
"56","Dominica","DMA","569631613.97372","572326558.421808","562292756.673633","605517398.839558","625197587.67759","624645898.468045","642946071.274726","683586729.040347","732263175.68711","723697474.802063","728564649.762304","726881582.869273","719078450.18508","714709100.925757","746354186.747102","727368916.471115","746560185.692329"
"57","Dominican Republic","DOM","70216740725.369","71943732956.3954","75177678144.7067","74166007480.1255","76072173461.9619","83244438226.534","90881578845.0318","97621312849.8405","100754473045.966","101707766699.471","110189839542.741","113642553322.237","116730639583.212","122421497669.641","131769642191.402","141037490083.255","150363182599.954"
"58","Ecuador","ECU","93295216341.4635","97041606943.7538","101017184846.402","103767758879.014","112288151266.025","118229663496.819","123435937981.532","126139263988.069","134158101737.554","134918096104.018","139674361950.133","150664137576.237","159164551066.427","167037643517.848","173366480258.435","173537892219.464","170802277011.814"
"59","Egypt, Arab Rep.","EGY","516490354615.709","534749590052.151","547425615678.561","564901000123.779","588005114348.149","614341629179.196","656448037935.998","702991982807.46","753309454899.709","788517970102.661","829088058411.598","843842460027.439","862538707676.352","881389198331.965","907089730673.907","946747866752.655","987899620943.459"
"60","El Salvador","SLV","33188717369.4213","33479888256.9236","34009159176.8282","34540460832.0961","34848142439.3704","35791644663.4988","37346038345.103","38040890946.1447","38850106314.9573","38040705445.3585","38841923775.6278","40322505966.1883","41457211401.0187","42441900740.313","43281934918.4664","44311018735.1775","45454498855.4421"
"61","Equatorial Guinea","GNQ","6630224128.66146","10832451921.8094","12940754061.3725","14746668683.4645","20350215036.8007","23758611625.8602","25589193076.1019","29499762713.0689","34750457672.4565","35217280130.7294","32074428108.711","34166939303.2501","37007193180.7025","35477614647.9406","35624868686.8354","32386903426.8123","29609440763.2535"
"62","Eritrea","ERI","5697012107.18605","6195810310.00904","6382021003.3495","6212545424.59697","6302735154.10848","6464995889.67665","6402336055.05114","6493685998.24794","5858406746.50613","6085507975.44211","6219035616.04434","6758835465.49469","","","","",""
"63","Estonia","EST","21936893827.1824","23325216331.0341","24742548540.4217","26577496360.9232","28250482309.8643","30898601006.0056","34072469486.4994","36712469966.8663","34722853850.8742","29610120602.1953","30279035698.8539","32579424941.3604","33982705150.2729","34640794999.0729","35642160259.5104","36238912180.8227","36986616169.4958"
"64","Eswatini","SWZ","6198195117.9076","6263571504.82097","6537922143.17365","6791607486.4133","7037729516.28522","7459907184.15207","7906917268.57411","8257618745.98774","8325468619.36271","8455766270.44989","8776557323.44136","8973786731.61092","9397183965.36318","10000558809.6321","10193670603.0072","10233540990.6853","10373606859.7057"
"65","Ethiopia","ETH","41136187141.9482","44551028045.6176","45225853914.0142","44248360523.8487","50254014899.7144","56193419293.8149","62281822906.6602","69416932546.6472","76905993365.0393","83675684346.8224","94177433193.7438","104704865663.231","113759545218.877","125797887490.473","138701596949.612","153116109123.261","164694392060.323"
"66","Faroe Islands","FRO","","","","","","","","","","","","","","","","",""
"67","Fiji","FJI","5413978501.91525","5522258043.17257","5698970328.95133","5755959944.93852","6061025838.80917","6103453042.8975","6216518478.53651","6163637444.37169","6227295135.34985","6140982490.50155","6322428385.2024","6493459112.28588","6585102187.78879","6896855439.91167","7283321735.71625","7563322268.06051","7592063153.49244"
"68","Finland","FIN","180583328884.027","185243809125.451","188356507325.911","192112306108.705","199654745087.655","205205057218.311","213526527453.303","224597452575.821","226216055640.06","207510167298.505","213719571855.46","219213912532.236","216087507036.948","214449485305.036","213094747666.23","213382600857.612","217939134113.258"
"69","France","FRA","2124681714044.73","2166207543575.82","2190435641127.14","2208386954887.36","2269921981455.15","2306415830711.35","2361191981980.65","2416951504053.97","2421671683865.19","2350442060338.69","2396643698076.09","2446475413051","2450944953213.91","2465068316298.47","2488426970191.39","2514989973712.51","2544859261714.25"
"70","French Polynesia","PYF","","","","","","","","","","","","","","","","",""
"71","Gabon","GAB","21892670917.0564","22360130543.4402","22304446401.8575","22805700919.7463","22962956047.3727","23577493332.6662","22915768569.1749","24292574468.0148","23488873984.4433","23519487499.0856","25186711540.4043","26972955724.1173","28389674061.0465","29990547548.5932","31284338367.7077","32497938439.9424","33174669113.2316"
"72","Gambia, The","GMB","1908847872.8024","2019561053.9263","1953925313.46824","2088159978.65163","2235375255.77687","2214325265.45635","2239216489.16","2320523011.61006","2453596697.59643","2611846222.16422","2782303075.61286","2662799770.40924","2811910199.36125","2946570385.0076","2973089520.92913","3100932363.57703","3169659371.42787"
"73","Georgia","GEO","14420709376.3996","15113689663.1237","15940988563.9094","17703759358.0732","18740726925.8081","20539769394.7741","22467072707.7767","25240408135.8443","25824483151.4717","24881863345.5275","26436835046.9026","28345977228.4492","30146083609.0846","31167144651.2493","32608105117.4224","33547322404.5671","34503076695.022"
"74","Germany","DEU","3022470159181.13","3073715277871.83","3073715277871.83","3051894783408.17","3087601049405.82","3109421556683.66","3224475116048.83","3329610265344.83","3365647150137.13","3176536134047.86","3306136689722.13","3427141297691.63","3444002587120.7","3460863889363.96","3527647847933.51","3589141995488.02","3658901471952.64"
"75","Ghana","GHA","42783859187.7077","44495213555.216","46497498031.401","48915367921.566","51654628520.1951","54702253644.7328","58203149968.9764","60733135639.5467","66290095533.9153","69501510520.6161","74991929626.3465","85526138706.1051","93473902670.2908","100309205191.172","104307395318.748","108309712701.546","112340895044.447"
"76","Gibraltar","GIB","","","","","","","","","","","","","","","","",""
"77","Greece","GRC","268406285140.34","279495791631.05","290460053341.344","307290851942.921","322842819111.997","324777106214.375","343134916881.389","354368285438.423","353180540193.816","337991185797.721","319472523306.922","290296713794.743","269103619809.722","260380827733.851","262307065531.397","261544008252.724","260905017686.761"
"78","Greenland","GRL","","","","","","","","","","","","","","","","",""
"79","Grenada","GRD","980774641.896593","960924743.519871","993954835.830066","1088022457.40683","1080978052.56727","1224456959.88169","1175568310.46929","1247547303.17912","1259387162.6998","1176092442.35576","1170079476.22561","1179028540.57174","1165407280.7136","1192821166.81768","1280411762.08613","1362844229.08181","1413048536.14716"
"80","Guam","GUM","","","","","","","","","","","","","","","","",""
"81","Guatemala","GTM","70728399242.464","72378191607.1097","75176785982.0769","77079352524.891","79508956793.9798","82101037074.5126","86517889594.4109","91972026249.6866","94989768488.7946","95489105564.6527","98229550167.3647","102317810920.593","105356675905.918","109251899051.912","113812511011.415","118524399452.531","122189752233.966"
"82","Guinea","GIN","12513713357.3869","12971508348.3597","13641436096.3708","13811763239.3525","14134974702.0943","14558638420.4258","14730450800.8578","15736168562.214","16387113452.8344","16203964748.3443","16985111774.6343","17938333959.3527","18999729345.8379","19747327660.9345","20479450278.8265","21260731044.6409","23483350365.5547"
"83","Guinea-Bissau","GNB","1694945062.04303","1732045830.01164","1714982103.77181","1724731951.54985","1772358733.9904","1847969311.0027","1890645538.03523","1952336459.90643","2014880872.38597","2082761704.20962","2178797240.50989","2354948198.33888","2314615400.56941","2389977061.76495","2413029842.49064","2561047094.4349","2721440496.43605"
"84","Guyana","GUY","3406353971.17923","3482996911.57763","3519603235.87969","3484222239.58901","3598989899.71288","3528560864.87814","3709568818.05217","3969978813.85319","4048451283.10396","4192258679.90692","4365752920.86138","4592610458.19144","4834930645.92366","5076704495.14537","5272001454.33329","5438723638.86675","5619078875.0695"
"85","Haiti","HTI","14870414529.099","14715111653.3482","14678108395.1052","14731507404.604","14212532873.5774","14469070687.6724","14794512150.9456","15289133971.0025","15418165750.1478","15893545989.104","15019751835.594","15849403538.3438","16306674053.9112","16997107258.1096","17474751212.4895","17686408604.5962","17943340305.1749"
"86","Honduras","HND","21716145048.1263","22307517649.2782","23145017230.2788","24197429970.8015","25705487115.2829","27260823118.7326","29051107767.1585","30848885361.3642","32154286828.2783","31372414225.1852","32542963029.3315","33791210423.4101","35186343988.2885","36168591807.1898","37274656482.8466","38706033100.6809","40158341099.6605"
"87","Hong Kong SAR, China","HKG","226720920667.466","227992532138.65","231769541960.922","238853158319.871","259633443837.429","278815800647.185","298424164929.894","317716790039.647","324477615183.198","316498549707.852","337918166982.222","354187869989.884","360210153961.364","371382031652.169","381641150667.856","390754152513.082","399205865105.712"
"88","Hungary","HUN","183304650793.76","190344485053.526","198963675285.774","206621030412.538","216962243604.897","226483013701.357","235205266299.921","236227848569.854","238248808612.45","222524449045.148","224042907266.972","227766313841.215","224022336958.012","228718330615.637","238387931763.495","246414799506.512","251868421023.595"
"89","Iceland","ISL","9573525528.70967","9949529143.99043","10004301795.5866","10240074469.7302","11066887643.986","11774120028.8598","12364849699.6037","13530642427.0831","13755104114.2437","12860299595.9405","12396603877.548","12639952183.7649","12806706028.5078","13358436580.8046","13652368524.7642","14240965519.9354","15306396268.8005"
"90","India","IND","2627411132203.84","2754156558837.62","2858923994645.01","3083646326717.37","3327961880409.66","3636957304293","3973883747260.26","4363378412691.4","4533155593203.42","4917557391217.41","5422096963234.59","5782035485242.57","6097525749691.16","6486920231890.15","6967615785638.64","7535784791103.64","8071781508260.02"
"91","Indonesia","IDN","1228163264451.2","1272910980908.49","1330185297242","1393773064452.43","1463892030404.63","1547225128046.56","1632337236348.95","1735909396809.54","1840301842699.8","1925487044368.68","2045326550276.98","2171518784772.08","2302462467434.46","2430416378087.98","2552099267504.09","2676547853209.17","2811265990062.29"
"92","Iran, Islamic Rep.","IRN","868673118029.598","875436943390.991","939042262126.517","1021063701391.51","1065730227728.56","1099724934092.11","1154708929239.81","1248884374365.23","1252017282663.89","1264629922699.9","1337952385362.8","1373350831357.52","1271110945498.43","1268644056366.04","1327045056375.38","1309519500601.69","1484945719470.51"
"93","Iraq","IRQ","286951666266.933","293566810865.104","273310170471.489","182842215393.504","281865489722.049","294269311533.25","324161774139.846","328627420735.618","355667236886.308","367686296601.583","391227650166.62","420751532114.547","479389275592.69","515822860537.734","519433620561.498","544366434348.451","604246742126.781"
"94","Ireland","IRL","147830480062.187","156410025066.88","166278362341.107","171465430991.396","182921426695.269","193908388724.62","204615364392.17","215273198404.943","206800198014.384","197232025187.434","200785513232.29","206778775557.327","206855603701.04","210245646425.983","227755701340.096","285963838243.803","300666555043.35"
"95","Isle of Man","IMN","","","","","","","","","","","","","","","","",""
"96","Israel","ISR","168700570470.257","168743243811.319","169016320505.721","170313632512.875","178096480706.925","185458003224.404","195121888278.097","206387354534.325","212555024843.902","215491700179.895","226748779571.814","237310354994.711","241920126884.084","251865838775.929","260454807711.887","268367278652.397","279355135658.088"
"97","Italy","ITA","2080426538099.69","2117295623397.28","2122558107457.35","2125769923933.47","2159398304461.84","2179905381527.55","2223647071999.34","2256420706781.35","2232719199712.22","2110320304292.05","2145911350104.08","2158285168982.73","2097442812673.49","2061195628130.18","2063538655939.68","2083182695248.97","2101061873837.09"
"98","Jamaica","JAM","21072275678.8063","21355682944.2112","21782218065.7005","22580823358.7432","22879731385.2795","23084229952.1509","23753470714.4511","24093609497.1914","23898032825.7575","22861685945.5793","22526466061.6722","22916503999.9595","22773514573.7449","22887095406.0215","23043360867.2423","23249057794.8694","23568389964.7527"
"99","Japan","JPN","4296408111808.02","4313865960514.19","4318956010747.16","4384959166693","4481633830085.73","4556148629447.48","4620846238688.91","4697283532342.89","4645916829799.75","4394274796104.58","4578471337863.95","4573186804907.29","4641560044572.94","4734403677469.97","4752144410137.9","4816480039572.05","4861667960845.39"
"100","Jordan","JOR","36920965669.5915","38866189785.0524","41114397025.0405","42825187766.486","46494149175.9134","50281833762.9344","54351309083.3948","58794919398.997","63047208135.6292","66500039588.7755","68037116498.7509","69797089967.4539","71647529865.1796","73674271405.884","75955470176.479","77772094096.0134","79330439709.5802"
"101","Kazakhstan","KAZ","148115355285.537","168110928246.768","184585799217.488","201752278545.041","221120497284.623","242569185519.522","268524088370.111","292422732235.034","302072682399.407","305697554586.475","328013476071.783","352286473300.142","369196224018.677","391347997460.437","407784613353.046","412678028712.375","417217487027.841"
"102","Kenya","KEN","67057521480.6867","69592233091.3861","69972804850.1823","72024740241.3991","75701098895.9817","80172510027.9297","85361671168.5519","91209568588.0043","91421432678.2306","94444684435.2282","102383420542.115","108637269874.175","113594615692.429","120272490411.608","126715628174.911","133961870408.61","141824350927.166"
"103","Kiribati","KIR","169413855.616892","166922475.387232","173244601.858018","176720450.985428","173841038.284999","182449006.116498","179564486.086597","183518804.787114","180128410.00158","180650105.021671","177745903.087956","178593470.642087","187858540.009159","198720833.241466","200495443.379052","221138521.685971","223660047.61641"
"104","Korea, Dem. People’s Rep.","PRK","","","","","","","","","","","","","","","","",""
"105","Korea, Rep.","KOR","975737013407.482","1019892106470.17","1095694910214.91","1127834029471.1","1183096097461.14","1229516971566.77","1293158661236.75","1363809044893.02","1402394246432.22","1412316325213.73","1504071601637.97","1559446833866.66","1595195559499.74","1641395692018","1696242071623.01","1743571231387.8","1794645747067.85"
"106","Kosovo","XKX","7858714211.3897","9978517325.72936","9908573079.27693","10501120175.8545","10775422745.853","11425528756.4643","11940023944.6228","12809983997.7649","13148784843.9648","13588173255.1103","14037884018.276","14713466075.8931","15139472205.4582","15658942318.9343","15846547562.0019","16495377247.4126","17166557015.9325"
"107","Kuwait","KWT","143388170990.257","144433508630.689","148766513903.242","174532874678.65","193316441769.241","212794911701.409","228797619409.869","242506397704.744","248520177652.617","230934634860.825","225468269003.663","247177337169.866","263556266778.465","266584630667.396","267919891720.381","269508709236.721","279068196867.208"
"108","Kyrgyz Republic","KGZ","10161756699.5565","10702523147.6749","10700665921.0999","11452954424.2289","12257737465.2498","12236219224.1571","12615896710.324","13693656983.311","14844145453.5681","15272591237.1255","15200570760.0957","16105958461.3669","16091761027.9377","17848252275.5774","18566472841.7351","19286076936.2759","20122293441.2464"
"109","Lao PDR","LAO","13243454430.6593","14005140174.8313","14834068524.0527","15734051803.1481","16734374903.4779","17923782040.8776","19468680529.6535","20947682859.2084","22586818673.961","24281230970.7998","26351668594.1","28469987707.9776","30755016945.5792","33223506940.3046","35752468142.3336","38351526625.7744","41044989575.8241"
